,Calories,Protein,Fat,Calcium,Iron
Milk,80,6,6,147,0.1
Bread,219,2.7,1,6,1.1
Rice,130,2.7,0.3,10,0.2
Eggs,144,12,9.6,56,1.8
Cheese,355,22.5,28,630,0.2
Chicken,239,27,14,17,1.3
Beef,250,26,15,18,2.6
Apples,95,0.5,0.3,11,0.2
Banana,89,1.1,0.3,5,0.3
Oranges,47,0.9,0.1,40,0.1
Tomato,22,1,0.246,13,0.33
Potato,145,3,0.2,14,3.2
Onion,40,1.1,1.1,23,0.2
Lettuce,15,1.4,0.2,36,0.9
